City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Georgetown,MY,78.73,5.4112,100.3354,Cititel Penang
4,Samarai,PG,82.18,-10.6167,150.6667,Nuli Sapi
9,Atuona,PF,76.53,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
12,Sakakah,SA,76.57,29.9697,40.2064,Fakhamat Al Orjoana Apartment
15,Manicore,BR,75.15,-5.8092,-61.3003,Hotel Durval
17,Abu Dhabi,AE,93.31,24.4667,54.3667,Beach Rotana
28,Maningrida,AU,88.75,-12.0667,134.2667,Dhukurrdji Lodge
38,Hasaki,JP,77.4,35.7333,140.8333,Inubosaki Kanko Hotel
46,Harper,LR,76.37,4.375,-7.7169,Screensaver
55,Kapaa,US,79.11,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,Meulaboh,ID,85.84,4.1363,96.1285,Kost Pria
60,Aswan,EG,83.21,24.0934,32.907,Nuba Nile
61,San Policarpo,PH,87.8,12.1791,125.5072,Agapita M. Nicart
63,Abidjan,CI,76.96,5.3094,-4.0197,ibis Abidjan Plateau
64,Gizo,SB,83.75,-8.103,156.8419,Imagination Island
66,Hithadhoo,MV,81.54,-0.6,73.0833,Scoop Guest House
68,Shingu,JP,80.78,33.7333,135.9833,Shingu UI Hotel
73,Kavieng,PG,83.25,-2.5744,150.7967,Nusa Island Retreat
76,Faanui,PF,77.92,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
79,Cayenne,GF,77.04,4.9333,-52.3333,Hôtel Le Dronmi
81,Kavaratti,IN,80.76,10.5669,72.642,Green leaf
87,Palu,ID,85.53,-0.8917,119.8707,Hotel Santika Palu
89,Loa Janan,ID,84.78,-0.583,117.095,Kost bu jono
90,Hilo,US,80.28,19.7297,-155.09,Hilo Hawaiian Hotel
92,Vaini,TO,76.48,-21.2,-175.2,Keleti Beach Resort
95,Sarangani,PH,83.35,5.4033,125.4636,JVL Inn and Cafeteria
98,Gunjur,GM,77.07,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
103,Seoul,KR,85.39,37.5683,126.9778,LOTTE HOTEL SEOUL
108,Tanda,IN,82.74,26.55,82.65,MUMTAZ GANJ TANDA
110,Shimoda,JP,75.11,34.6667,138.95,Shimoda Tokyu Hotel
112,Marawi,PH,77.59,7.9986,124.2928,Derogongan Residence
113,Makakilo City,US,80.56,21.3469,-158.0858,Marriott's Ko Olina Beach Club
117,Lorengau,PG,83.26,-2.0226,147.2712,Lorengau Harbourside Hotel
121,Honggang,CN,75.96,46.4667,124.8667,亚布力滑雪旅游度假区
127,Along,IN,83.08,28.1667,94.7667,Hotel West
128,Sibolga,ID,86.41,1.7427,98.7792,Hotel Syariah CN Darussalam
129,Yumen,CN,81.32,40.2833,97.2,
132,Dumai,ID,92.17,1.6833,101.45,Grand Zuri Dumai
133,Bijapur,IN,77.94,16.8333,75.7,Rajdhani Lodge
134,Labuhan,ID,87.42,-6.8844,112.2051,DoubleFAG
136,Nacala,MZ,76.53,-14.5428,40.6728,Nacala Plaza Business Design Hotel
137,Wattegama,LK,91.15,6.7989,81.4808,
