City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.1927,168.8643,46.47,70,76,12.93,NZ,2022-09-15 04:58:56
1,Georgetown,5.4112,100.3354,78.73,93,40,8.05,MY,2022-09-15 04:54:56
2,Ushuaia,-54.8,-68.3,47.86,40,0,12.66,AR,2022-09-15 04:56:47
3,Antofagasta,-23.65,-70.4,56.48,77,17,2.71,CL,2022-09-15 04:54:23
4,Samarai,-10.6167,150.6667,82.18,77,22,11.12,PG,2022-09-15 04:58:56
5,Punta Arenas,-53.15,-70.9167,39.31,70,0,16.11,CL,2022-09-15 04:54:41
6,New Norfolk,-42.7826,147.0587,58.5,58,100,1.01,AU,2022-09-15 04:58:57
7,Aklavik,68.2191,-135.0107,41.59,84,100,3.56,CA,2022-09-15 04:58:57
8,Rikitea,-23.1203,-134.9692,70.63,73,9,13.22,PF,2022-09-15 04:58:57
9,Atuona,-9.8,-139.0333,76.53,75,17,17.85,PF,2022-09-15 04:58:58
10,Gamboula,4.1178,15.1393,67.24,97,99,2.15,CF,2022-09-15 04:58:58
11,Arraial Do Cabo,-22.9661,-42.0278,68.11,93,78,7.72,BR,2022-09-15 04:58:58
12,Sakakah,29.9697,40.2064,76.57,28,0,8.03,SA,2022-09-15 04:58:58
13,Asuncion,-25.3007,-57.6359,56.89,72,0,9.22,PY,2022-09-15 04:58:59
14,Albany,42.6001,-73.9662,64.17,80,11,5.01,US,2022-09-15 04:58:59
15,Manicore,-5.8092,-61.3003,75.15,94,0,0.0,BR,2022-09-15 04:58:59
16,Torbay,47.6666,-52.7314,55.58,94,40,3.44,CA,2022-09-15 04:59:00
17,Abu Dhabi,24.4667,54.3667,93.31,61,0,2.3,AE,2022-09-15 04:55:28
18,Chernolesskoye,44.7156,43.7133,65.3,54,29,6.69,RU,2022-09-15 04:59:00
19,Dikson,73.5069,80.5464,35.31,98,100,21.85,RU,2022-09-15 04:59:00
20,Ilulissat,69.2167,-51.1,37.51,99,100,5.44,GL,2022-09-15 04:59:01
21,Camalu,30.85,-116.0667,67.03,86,34,9.08,MX,2022-09-15 04:59:01
22,Saint-Pierre,-21.3393,55.4781,74.88,64,40,20.71,RE,2022-09-15 04:59:01
23,Muzaffarnagar,29.4667,77.6833,74.39,95,100,8.75,IN,2022-09-15 04:59:02
24,Athabasca,54.7169,-113.2854,41.41,46,0,4.74,CA,2022-09-15 04:59:02
25,Nikolskoye,59.7035,30.7861,51.69,93,91,8.68,RU,2022-09-15 04:59:02
