City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Ayora,EC,2022-09-14 05:08:15,-0.7393,-90.3518,63.55,99,90,1.01
1,Tsumeb,NA,2022-09-14 05:08:15,-19.2333,17.7167,65.93,16,0,10.18
2,Vaini,TO,2022-09-14 05:08:15,-21.2,-175.2,77.16,88,75,8.05
3,Saint-Francois,FR,2022-09-14 05:08:15,46.4154,3.9054,62.04,100,0,2.3
4,Pevek,RU,2022-09-14 05:08:16,69.7008,170.3133,34.21,99,100,6.02
5,Ponta Do Sol,PT,2022-09-14 05:08:16,32.6667,-17.1,70.72,78,37,8.72
6,Mar Del Plata,AR,2022-09-14 05:08:17,-38.0023,-57.5575,47.08,94,100,5.01
7,Hithadhoo,MV,2022-09-14 05:08:17,-0.6,73.0833,81.54,70,1,5.84
8,Ushuaia,AR,2022-09-14 05:06:25,-54.8,-68.3,38.86,70,0,3.44
9,Mahebourg,MU,2022-09-14 05:08:17,-20.4081,57.7,76.24,67,90,6.35
10,Cape Town,ZA,2022-09-14 05:05:43,-33.9258,18.4232,61.12,71,0,1.01
11,Cockburn Town,TC,2022-09-14 05:08:18,21.4612,-71.1419,84.16,74,100,17.36
12,Hilo,US,2022-09-14 05:08:18,19.7297,-155.09,77.29,86,40,6.91
13,Bredasdorp,ZA,2022-09-14 05:08:18,-34.5322,20.0403,49.01,88,0,4.38
14,Joppatowne,US,2022-09-14 05:08:18,39.4579,-76.3552,67.69,80,75,8.05
15,Beinamar,TD,2022-09-14 05:08:19,8.6698,15.3813,69.67,90,100,1.83
16,Albany,US,2022-09-14 05:05:54,42.6001,-73.9662,59.34,94,17,6.11
17,Hofn,IS,2022-09-14 05:08:19,64.2539,-15.2082,47.95,73,35,13.38
18,Saint-Philippe,RE,2022-09-14 05:08:19,-21.3585,55.7679,74.79,65,96,3.0
19,Hobart,AU,2022-09-14 05:08:20,-42.8794,147.3294,60.26,47,20,13.8
20,New Norfolk,AU,2022-09-14 05:08:20,-42.7826,147.0587,59.92,46,3,4.0
21,Tuktoyaktuk,CA,2022-09-14 05:08:21,69.4541,-133.0374,36.05,74,100,18.05
22,Port Alfred,ZA,2022-09-14 05:08:21,-33.5906,26.891,56.17,82,0,13.51
23,Kavaratti,IN,2022-09-14 05:08:21,10.5669,72.642,81.36,78,21,12.71
24,Port Blair,IN,2022-09-14 05:08:21,11.6667,92.75,87.84,70,75,13.8
25,Yellowknife,CA,2022-09-14 05:08:22,62.456,-114.3525,46.56,93,90,5.99
26,Punta Arenas,CL,2022-09-14 05:05:25,-53.15,-70.9167,33.91,80,40,5.75
27,Victoria,HK,2022-09-14 05:08:04,22.2855,114.1577,95.04,44,41,8.99
28,Saint-Pierre,RE,2022-09-14 05:08:22,-21.3393,55.4781,74.88,64,0,3.44
29,Iqaluit,CA,2022-09-14 05:08:22,63.7506,-68.5145,41.7,86,100,5.99
